,business_id,city,hours,name,state,Alcohol,BikeParking,BusinessAcceptsCreditCards,BusinessParking,Caters,GoodForKids,HasTV,NoiseLevel,OutdoorSeating,RestaurantsAttire,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsPriceRange2,RestaurantsReservations,RestaurantsTakeOut,WiFi
0,105372,Calgary,,Pearl Garden,AB,,,,0.0,,True,,,False,casal,False,True,1,,True,
1,20037,Phoenix,all_day,Nee House Chinese Restaurant,AZ,beer_and_wine,True,True,1.0,True,True,False,average,False,casal,False,True,2,True,True,no
2,111668,Scottsdale,all_day,Yummy Yummy Chinese Restaurant,AZ,none,True,True,1.0,True,True,True,average,False,casal,True,False,1,False,True,no
3,101172,Mesa,,China Gourmet,AZ,,False,True,0.0,,True,,qiet,False,casal,True,True,1,False,True,no
4,165961,Toronto,all_day,Pearl King,ON,fll_bar,True,,1.0,True,True,True,average,True,casal,False,True,2,True,True,free
5,138910,Montréal,all_day,Jardin Tiki,QC,,,,,,True,,,,,,,,,True,
6,102449,Henderson,brunch,China AAA,NV,none,False,True,1.0,True,True,True,average,False,casal,False,True,2,False,True,free
7,72511,Champaign,all_day,ChinaTown Buffet,IL,fll_bar,False,True,1.0,False,True,False,average,False,casal,False,True,2,False,True,no
8,157896,Richmond Hill,all_day,Golden Flower Cafe,ON,none,True,False,1.0,True,True,False,lod,False,casal,False,True,1,False,True,no
9,63916,Scarborough,dinner,Wong's Asian Cuisine,ON,fll_bar,True,,0.0,True,True,False,qiet,False,casal,True,True,1,True,True,no
10,175422,Urbana,,Sunny China Buffet,IL,none,True,True,1.0,False,True,True,average,False,casal,False,True,1,False,True,no
11,166729,Las Vegas,,Empress Court,NV,fll_bar,False,True,0.0,,True,False,qiet,True,dressy,False,True,3,True,True,
12,95396,Richmond Hill,,Red Lotus,ON,,,,,,True,,,,casal,,,1,True,True,
13,41536,Matthews,all_day,Genghis Grill,NC,fll_bar,True,True,0.0,False,True,True,average,False,casal,False,True,2,False,True,free
14,158881,Gilbert,all_day,Yao Fine Chinese Cuisine,AZ,beer_and_wine,True,True,1.0,True,True,True,average,False,casal,False,True,1,False,True,no
15,123943,Tempe,,Panda Express,AZ,none,,,0.0,,,,,,,,,1,,True,
16,54320,Las Vegas,,Teriwoki,NV,none,,True,0.0,,True,,,False,casal,False,True,1,,True,
17,72504,Gilbert,all_day,King Wok,AZ,none,True,True,1.0,False,True,True,qiet,False,casal,True,True,1,False,True,no
18,86768,Toronto,all_day,Hong Kong Bistro Cafe,ON,beer_and_wine,True,,1.0,False,True,True,average,False,casal,False,True,1,False,True,no
19,36425,Chandler,all_day,Tott's Asian Diner,AZ,none,True,True,1.0,True,True,False,average,True,casal,False,True,1,False,True,no
20,128522,Etobicoke,dinner,Mandarin Restaurant - Queensway,ON,fll_bar,False,,1.0,True,True,False,average,False,casal,True,True,2,True,True,no
21,129478,Phoenix,,Jade Fine Chinese Dining,AZ,beer_and_wine,,True,0.0,,,,,,casal,,False,2,,True,
22,10168,Las Vegas,all_day,Fortune Chinese Restaurant,NV,beer_and_wine,False,True,0.0,,True,False,,False,casal,False,True,2,True,True,no
23,2796,Madison,all_day,Lee Asian Bistro,WI,fll_bar,,True,1.0,,True,False,,False,casal,True,True,1,True,True,
24,55428,Mississauga,all_day,KooKoo Chicken,ON,none,True,,1.0,False,True,False,average,False,casal,False,True,2,False,True,no
25,165265,Calgary,all_day,Shanghai Palace Restaurant,AB,fll_bar,True,,1.0,,True,False,average,False,casal,True,True,2,True,True,free
26,167409,Toronto,,Niwan Rolls King,ON,none,False,,0.0,,True,True,average,False,casal,True,True,1,False,True,free
27,91649,Mississauga,,Tangerine Asian Cuisine,ON,none,False,,1.0,False,True,False,average,False,casal,False,True,1,False,False,no
28,46488,Parma,all_day,Blue Ginger Asian Bistro,OH,fll_bar,True,True,1.0,False,True,True,average,False,casal,False,True,2,True,True,free
29,182589,Harrisburg,,Soho Cafe Chinese Cuisine & Bar,NC,fll_bar,,True,0.0,,True,True,average,True,casal,False,True,1,,True,
30,7245,Medina,all_day,Happy Garden,OH,,,True,0.0,,True,False,qiet,True,casal,False,True,2,False,True,
31,78276,Scottsdale,brunch,Tottie's Asian Kitchen,AZ,none,True,True,1.0,False,True,True,average,False,casal,False,False,2,False,True,no
32,77679,Toronto,all_day,GB Hand-pulled Noodles,ON,none,True,,1.0,False,True,False,average,False,casal,False,False,2,False,True,no
33,163925,Montréal,,M.Gao,QC,,,,,,True,True,average,,casal,,True,2,,True,
34,151960,Markham,,Canton Chang Fen,ON,,,,,,,,,,,,,,,,
35,149506,Las Vegas,24_hours,Noodle Asia,NV,beer_and_wine,False,True,2.0,False,True,False,average,False,casal,False,True,2,False,True,free
36,66296,Richmond Hill,all_day,Gou Bu Li,ON,beer_and_wine,True,,1.0,,True,True,,False,casal,False,True,2,True,True,free
37,104723,Madison,all_day,Oriental Wok,WI,,,True,0.0,False,True,,,False,casal,True,True,1,,True,
38,114752,Calgary,dinner,Ginger Beef Peking House,AB,beer_and_wine,True,,1.0,False,True,True,qiet,False,casal,True,True,2,True,True,no
39,46286,Avondale,all_day,Panda Express,AZ,none,False,True,0.0,True,True,False,qiet,True,casal,False,True,1,False,True,no
40,173040,Airdrie,all_day,Jen's Noodle House,AB,,,,0.0,,,,,,,,,,,,
41,19677,Mississauga,all_day,Tim-Jas Thai & Chinese,ON,,,,0.0,,,False,,,casal,True,True,,,True,
42,135979,Toronto,,Dumpling Buffet,ON,,,,,,,,,,,,True,,,True,
43,115247,Montréal,all_day,Restaurant PM,QC,beer_and_wine,False,,1.0,False,True,False,average,False,casal,True,True,2,True,True,free
44,154044,Scottsdale,,Jade Palace,AZ,none,,True,,,True,,,,casal,False,True,2,,True,
45,190015,Scarborough,,The Golden Oriental Palace Chinese Cuisine,ON,fll_bar,,,0.0,,True,True,average,False,casal,,True,2,True,False,
46,176386,Markham,all_day,Tracy Dessert,ON,none,True,,1.0,False,True,False,average,False,casal,False,True,1,False,True,no
47,180155,Calgary,,Destination Pearl House,AB,none,,,0.0,False,False,True,average,False,casal,False,True,2,True,True,no
48,134626,Montréal,dinner,Maison Guang Zhou,QC,,,,,,True,,,,casal,,True,2,,True,
49,158102,Las Vegas,all_day,Wo Fat,NV,beer_and_wine,True,True,1.0,True,True,False,average,False,casal,False,True,1,True,True,no
50,27592,Markham,all_day,Asian Legend,ON,beer_and_wine,False,True,1.0,True,True,False,average,False,casal,False,True,2,True,True,no
51,92905,Monroeville,all_day,Golden Palace,PA,none,True,True,0.0,,True,True,qiet,False,casal,False,True,2,True,True,
52,187566,Rocky River,,Dragon Restaurant,OH,,,True,0.0,,,,,False,,,,2,,True,
53,93298,Las Vegas,,Shan Dong Chinese Restaurant,NV,,,True,0.0,,True,True,average,False,casal,,True,1,,True,
54,111667,Montréal,dinner,Fu Lam,QC,fll_bar,True,,0.0,,True,True,average,False,casal,True,True,2,True,True,no
55,14606,Markham,all_day,Keung's Restaurant,ON,none,True,,1.0,True,True,False,average,False,casal,False,True,2,True,True,free
56,152142,Las Vegas,all_day,Koji Sushi Bar and China Bistro,NV,fll_bar,False,True,2.0,False,True,True,average,False,casal,False,True,2,True,True,no
57,175829,Las Vegas,all_day,Pan Asian,NV,none,True,True,1.0,True,True,True,average,False,casal,False,True,2,True,True,no
58,36054,Montréal,,Just Noodles,QC,,,,,,,,,,casal,True,,1,False,True,
59,124609,Toronto,all_day,Hot Pot Garden,ON,,,,,,True,,,,,,True,,True,,
60,17001,Charlotte,all_day,Lotus Chinese Cuisine,NC,none,False,True,1.0,False,True,False,average,False,casal,True,True,1,False,True,no
61,177124,Brampton,all_day,Calypso Hut Family Restaurant and Bar,ON,,,,,,,,,,,False,True,,,,
62,139740,Phoenix,dinner,Dragon Palace,AZ,fll_bar,True,True,1.0,False,True,False,qiet,False,casal,False,True,2,False,True,no
63,74251,York,all_day,Jade Chinese Restaurant,ON,fll_bar,False,,0.0,False,True,True,average,False,casal,True,True,2,False,True,no
64,23028,Northfield,all_day,Smiles Chinese Food,OH,,,True,,,,,qiet,,casal,True,,,,,
65,176617,Thornhill,all_day,Seoul House,ON,fll_bar,False,,1.0,True,True,True,average,False,casal,False,True,2,True,True,free
